MainType,Diameter,InstallDate,Material
Distribution,14,8/9/2018 16:40,Galvanized Iron
Distribution,6,5/29/2015 15:45,Copper
Distribution,8,7/30/2021 16:29,Cast Iron
Distribution,8,4/11/2016 3:38,Copper
Distribution,12,5/12/1996 15:32,Cast Iron
Distribution,10,9/25/2014 14:25,Ductile Iron
Distribution,12,1/28/2016 17:24,Ductile Iron
Distribution,12,2/13/2021 14:51,Copper
Distribution,6,3/4/2010 21:28,Ductile Iron
Distribution,8,6/10/2021 11:26,Galvanized Iron
Distribution,14,8/9/2014 13:36,Copper
Distribution,14,11/20/2012 1:33,Cast Iron
Distribution,8,6/4/2007 20:46,Galvanized Iron
Distribution,10,2/9/2019 23:14,Galvanized Iron
Distribution,14,10/1/2020 16:45,Galvanized Iron
Distribution,10,10/23/2012 17:15,Ductile Iron
Distribution,14,1/26/2018 21:39,Cast Iron
Distribution,8,12/7/2014 1:46,Galvanized Iron
Distribution,6,4/10/2004 5:30,Ductile Iron
Distribution,8,9/15/2021 0:56,Copper
Distribution,8,3/22/2019 0:44,Ductile Iron
Distribution,6,5/10/2016 13:24,Copper
Distribution,8,10/18/2020 0:00,Ductile Iron
Distribution,6,1/1/2014 9:05,Galvanized Iron
Distribution,10,4/4/2008 7:45,Galvanized Iron
Distribution,14,10/8/2021 0:30,Ductile Iron
Distribution,6,2/4/2020 1:55,Copper
Transmission,28,11/28/2020 1:44,Cast Iron
Distribution,6,9/22/2020 9:48,Galvanized Iron
Distribution,14,6/8/2006 1:37,Galvanized Iron
Distribution,8,12/29/2015 3:33,Galvanized Iron
Distribution,10,5/24/1992 16:44,Galvanized Iron
Distribution,8,4/3/2017 7:14,Galvanized Iron
Distribution,10,4/6/2015 16:12,Galvanized Iron
Distribution,10,12/26/2014 2:52,Copper
Distribution,6,5/7/2015 12:12,Galvanized Iron
Distribution,12,12/24/2017 23:24,Cast Iron
Distribution,6,2/22/2021 2:48,Galvanized Iron
Distribution,8,8/31/2003 2:51,Galvanized Iron
Distribution,12,9/16/2021 4:17,Copper
Distribution,14,8/22/2018 8:11,Cast Iron
Distribution,12,7/31/2021 2:19,Ductile Iron
Distribution,8,10/6/2021 11:25,Copper
Distribution,14,9/16/2019 18:06,Cast Iron
Distribution,10,7/15/2006 0:10,Galvanized Iron
Distribution,14,1/17/2005 13:36,Galvanized Iron
Distribution,6,7/11/2020 5:19,Ductile Iron
Distribution,12,5/5/2020 13:06,Cast Iron
Distribution,6,1/6/2019 5:39,Copper
Distribution,6,5/31/2016 14:12,Ductile Iron
Distribution,10,9/28/2012 22:16,Cast Iron
Distribution,10,11/28/2018 0:49,Ductile Iron
Distribution,6,3/12/1990 13:41,Galvanized Iron
Distribution,12,1/20/2020 6:36,Cast Iron
Distribution,8,9/10/2009 12:05,Copper
Distribution,6,3/23/2021 8:55,Cast Iron
Distribution,8,3/25/2005 3:04,Ductile Iron
Distribution,12,12/12/2011 7:27,Ductile Iron
Distribution,6,4/25/2010 21:26,Ductile Iron
Distribution,6,6/20/2019 16:35,Galvanized Iron
Distribution,10,8/21/2020 13:58,Cast Iron
Distribution,12,11/18/2014 7:06,Cast Iron
Distribution,8,4/12/2020 11:36,Galvanized Iron
Distribution,10,1/20/2016 10:15,Copper
Distribution,14,6/1/2018 12:52,Galvanized Iron
Distribution,6,10/12/2020 13:48,Ductile Iron
Distribution,8,10/17/1988 3:24,Ductile Iron
Distribution,6,2/6/2012 21:45,Ductile Iron
Distribution,6,1/29/2004 21:34,Cast Iron
Distribution,10,12/11/2011 10:02,Galvanized Iron
Distribution,6,6/17/2015 20:03,Galvanized Iron
Distribution,14,1/6/2019 21:14,Cast Iron
Distribution,12,7/20/2013 14:25,Galvanized Iron
Distribution,14,1/22/2019 21:12,Copper
Distribution,10,12/5/1993 19:33,Copper
Distribution,12,8/30/2008 17:54,Copper
Distribution,8,1/22/2014 8:09,Ductile Iron
Distribution,12,9/30/2006 16:15,Copper
Distribution,14,1/1/1980 13:30,Ductile Iron
Distribution,6,6/21/2013 7:39,Copper
Distribution,6,3/22/2011 17:43,Ductile Iron
Distribution,14,9/12/2021 16:21,Ductile Iron
Transmission,28,2/15/2015 20:39,Ductile Iron
Distribution,8,7/9/2020 5:45,Copper
Distribution,8,10/27/2017 20:22,Ductile Iron
Distribution,6,1/2/2017 2:59,Cast Iron
Distribution,10,4/3/2021 15:36,Ductile Iron
Distribution,8,5/27/2021 15:42,Cast Iron
Distribution,8,3/1/2021 18:47,Copper
Distribution,10,7/23/2001 9:11,Copper
Distribution,8,10/24/1997 18:05,Ductile Iron
Distribution,14,9/2/2019 3:33,Copper
Distribution,6,12/25/2021 7:04,Cast Iron
Distribution,12,10/16/2018 18:37,Copper
Distribution,6,3/15/2019 22:42,Copper
Distribution,6,7/6/2021 16:45,Cast Iron
Distribution,8,11/24/2011 15:57,Galvanized Iron
Distribution,8,9/15/2019 19:42,Copper
Distribution,14,9/22/2018 5:41,Cast Iron
Distribution,12,2/9/2007 1:20,Galvanized Iron
Distribution,10,6/28/2014 7:36,Ductile Iron
Distribution,10,9/11/2019 9:32,Copper
Distribution,10,7/9/2020 22:04,Cast Iron
Distribution,8,7/29/2018 20:12,Cast Iron
Distribution,6,4/20/2020 23:09,Galvanized Iron
Distribution,14,7/30/2021 19:43,Copper
Distribution,6,8/9/2021 19:23,Copper
Distribution,10,10/13/2012 4:26,Galvanized Iron
Distribution,14,1/1/1980 13:30,Ductile Iron
Distribution,10,4/16/2013 15:16,Ductile Iron
Distribution,12,7/10/2015 15:16,Cast Iron
Distribution,12,1/18/2018 17:45,Ductile Iron
Distribution,10,6/27/1996 7:38,Copper
Distribution,8,7/2/1992 10:05,Copper
Distribution,6,1/1/2022 1:36,Ductile Iron
Distribution,14,11/14/2021 0:50,Galvanized Iron
Distribution,12,3/10/2018 16:51,Ductile Iron
Distribution,12,1/1/1980 13:30,Galvanized Iron
Distribution,8,12/4/2015 2:56,Cast Iron
Distribution,6,8/26/2017 13:42,Ductile Iron
Distribution,12,12/10/2006 14:16,Cast Iron
Distribution,12,4/26/2015 8:11,Ductile Iron
Distribution,8,4/20/2019 18:48,Cast Iron
Distribution,10,11/26/2012 13:37,Cast Iron
Distribution,6,4/22/2017 8:07,Galvanized Iron
Distribution,6,12/15/2018 23:19,Galvanized Iron
Distribution,8,7/22/2018 14:17,Copper
Distribution,14,9/29/2006 5:58,Cast Iron
Distribution,14,6/16/2013 18:28,Cast Iron
Transmission,36,10/6/2005 16:40,Cast Iron
Distribution,8,3/16/2020 0:36,Copper
Distribution,8,3/13/2005 19:22,Copper
Distribution,14,3/30/2009 15:35,Cast Iron
Distribution,10,12/18/2020 13:09,Galvanized Iron
Distribution,6,11/23/1982 19:05,Cast Iron
Distribution,6,12/25/2018 6:05,Copper
Distribution,12,9/8/2016 10:07,Cast Iron
Distribution,14,4/21/2017 15:46,Ductile Iron
Distribution,8,9/21/2015 11:09,Ductile Iron
Distribution,14,8/15/1994 12:37,Copper
Distribution,6,3/5/2019 15:35,Ductile Iron
Distribution,8,4/20/2015 5:18,Ductile Iron
Distribution,12,12/4/2017 12:04,Galvanized Iron
Distribution,14,11/21/2013 4:32,Ductile Iron
Distribution,14,10/3/2015 15:41,Galvanized Iron
Transmission,28,4/5/2016 11:39,Ductile Iron
Distribution,8,11/19/2012 2:30,Galvanized Iron
Distribution,8,5/10/2021 4:21,Galvanized Iron
Transmission,36,3/11/1988 20:35,Cast Iron
Distribution,6,3/20/2010 7:59,Cast Iron
Distribution,6,11/25/2021 13:20,Galvanized Iron
Distribution,12,7/8/1998 3:13,Copper
Distribution,10,3/3/2017 3:40,Ductile Iron
Distribution,14,12/4/2019 3:56,Galvanized Iron
Distribution,6,4/30/2010 19:05,Cast Iron
Transmission,32,10/30/2020 11:29,Cast Iron
Distribution,12,8/5/2016 6:05,Cast Iron
Distribution,8,12/12/2021 2:33,Ductile Iron
Distribution,6,8/24/2015 0:05,Cast Iron
Distribution,14,1/2/2018 3:14,Ductile Iron
Transmission,36,9/16/2020 22:53,Copper
Distribution,10,10/14/1980 9:33,Ductile Iron
Distribution,8,3/6/2014 12:57,Cast Iron
Distribution,10,4/24/1994 8:13,Galvanized Iron
Distribution,14,11/18/2021 17:35,Cast Iron
Distribution,14,10/21/2008 4:55,Galvanized Iron
Distribution,10,10/22/2021 6:04,Cast Iron
Distribution,6,8/23/2020 0:59,Cast Iron
Distribution,10,6/27/2015 6:33,Copper
Distribution,14,11/25/2011 7:54,Copper
Distribution,12,5/10/2018 6:12,Ductile Iron
Distribution,10,2/9/2019 20:25,Ductile Iron
Distribution,10,7/24/2018 21:21,Copper
Distribution,10,12/23/2009 1:40,Ductile Iron
Distribution,12,6/23/2021 3:31,Ductile Iron
Distribution,14,4/13/2017 6:55,Ductile Iron
Distribution,6,7/25/2021 6:08,Galvanized Iron
Distribution,14,12/21/2020 16:09,Cast Iron
Distribution,14,1/30/2017 23:58,Ductile Iron
Distribution,12,7/4/2018 18:46,Cast Iron
Distribution,14,6/22/2019 1:11,Galvanized Iron
